app,pred_arm,meas_arm,pred_soc,meas_soc,pred_sum,meas_sum,aluMps,GBps
mem,816.20,827.57,955.10,980.63,1771.30,1808.19,823.00,4.93
mem-w,794.10,712.76,949.40,992.95,1743.50,1705.71,777.40,4.66
mm-big,565.70,594.64,883.40,940.76,1449.20,1535.40,493.70,1.49
lz4,487.80,591.76,854.00,915.83,1341.80,1507.59,578.20,0.03
sgm-a55-1t,495.70,593.88,861.60,912.07,1357.30,1505.95,449.40,0.42
mm,488.20,583.00,857.30,909.16,1345.50,1492.16,496.50,0.20
sgm,517.00,549.02,857.60,935.23,1374.60,1484.25,740.20,0.17
lz4-fast,497.60,592.49,861.50,889.80,1359.10,1482.29,467.20,0.42
rd-life,555.90,553.75,868.70,923.84,1424.60,1477.59,792.90,0.70
lua,507.30,560.59,855.60,913.97,1362.90,1474.55,707.90,0.08
cr-blowfish,518.70,580.04,855.80,882.11,1374.50,1462.15,802.20,0.07
sqlite,497.00,560.52,854.10,901.48,1351.10,1462.01,657.30,0.01
cr-rc4,481.00,535.00,855.10,924.84,1336.10,1459.84,488.50,0.10
qoi,537.10,571.40,859.90,886.63,1397.00,1458.03,857.90,0.25
sqlite-heavy,495.70,555.98,854.20,899.73,1349.90,1455.71,642.70,0.02
bb-b64,481.60,546.28,853.30,908.58,1335.00,1454.86,541.30,0.00
sha256-big,540.60,539.89,856.20,914.15,1396.80,1454.04,984.90,0.05
bb-md5,504.10,538.02,854.10,915.01,1358.20,1453.04,718.80,0.00
bzip2-fast,494.40,542.80,854.50,905.39,1348.80,1448.19,623.00,0.04
cr-b64,515.80,552.01,861.30,894.40,1377.10,1446.40,634.00,0.37
bb-sortn,490.40,541.07,854.50,905.13,1345.00,1446.19,587.30,0.05
bzip2,480.90,518.84,856.20,926.99,1337.10,1445.83,459.80,0.16
bb-wc,516.90,539.52,854.50,904.16,1371.40,1443.68,819.70,0.00
cr-aes,523.50,523.36,854.90,914.01,1378.50,1437.37,867.90,0.01
bb-gzip,481.90,542.42,853.30,893.35,1335.30,1435.77,543.50,0.00
bb-sed,489.60,539.45,853.60,891.82,1343.20,1431.27,604.00,0.00
sort-big,522.10,545.60,862.20,881.42,1384.30,1427.02,666.00,0.41
rd-plasma,477.30,515.31,853.80,908.88,1331.10,1424.18,489.70,0.04
sha256,541.50,538.67,856.20,885.51,1397.80,1424.18,991.90,0.05
bb-sha1,528.30,521.69,854.90,901.23,1383.20,1422.92,909.70,0.00
sort,517.40,543.79,860.50,878.43,1377.90,1422.22,668.40,0.33
bb-gunzip,488.00,565.99,853.60,852.80,1341.50,1418.79,590.30,0.00
rd-mandel,463.90,502.34,853.10,913.30,1317.00,1415.65,392.30,0.02
bb-sha512,525.70,539.81,854.80,874.17,1380.50,1413.98,889.40,0.00
cr-md5,522.00,532.30,856.60,879.66,1378.60,1411.96,809.40,0.11
bb-cksum,463.80,499.23,852.70,905.41,1316.50,1404.64,400.30,0.00
heatshrink,491.60,523.91,854.10,875.94,1345.70,1399.85,608.70,0.02
cjson,480.00,471.39,858.60,920.67,1338.60,1392.06,389.10,0.29
pcg,495.00,554.16,853.80,836.81,1348.80,1390.98,647.10,0.00
pacman,489.10,535.52,853.60,844.29,1342.70,1379.81,600.60,0.00
parson,478.70,453.37,859.90,918.05,1338.60,1371.41,343.60,0.36
httpp,505.50,526.25,854.10,838.23,1359.70,1364.48,730.20,0.00
pacman-big,489.20,521.35,853.60,839.27,1342.70,1360.61,600.70,0.00
rd-ray,436.40,441.41,853.10,913.04,1289.40,1354.45,150.30,0.07
tommath,471.20,506.68,853.00,837.57,1324.10,1344.25,458.40,0.00
alu,488.80,507.21,853.60,831.03,1342.40,1338.24,597.80,0.00
chase,443.40,369.33,860.50,928.06,1303.90,1297.39,17.30,0.46
chase-big,445.30,382.60,860.90,896.86,1306.20,1279.46,24.40,0.48
bb-grep,493.20,323.66,853.70,833.81,1347.00,1157.46,632.70,0.00
bb-awk,483.10,322.28,853.40,833.92,1336.40,1156.20,552.50,0.00
