app,qemu_insns,silicon_insns,insn_err,qemu_read_GBps,silicon_read_GBps,read_err,qemu_total_GBps,elapsed_s
mem,536921108,547881096,-2.0,2.469,2.531,-2.4,4.931,0.22
mem-w,402703360,409609403,-1.69,2.332,2.617,-10.9,4.661,0.17
mm-big,1364911785,1370228895,-0.39,1.486,0.598,148.7,1.486,0.92
lz4,712769837,721442231,-1.2,0.024,0.027,-8.2,0.025,0.41
sgm-a55-1t,23773139494,24142073329,-1.53,0.239,0.196,22.3,0.424,17.63
mm,1079050055,1082560905,-0.32,0.202,0.32,-36.7,0.202,0.72
sgm,10125614079,10155842310,-0.3,0.16,0.083,92.8,0.168,4.56
lz4-fast,281463026,304138792,-7.46,0.382,0.312,22.3,0.418,0.2
rd-life,688350941,691991460,-0.53,0.573,0.31,84.4,0.7,0.29
lua,1065880704,1073333237,-0.69,0.064,0.045,41.6,0.076,0.5
cr-blowfish,308485272,309426132,-0.3,0.066,0.004,1451.1,0.066,0.13
sqlite,2574904942,2585886019,-0.42,0.007,0.01,-30.8,0.012,1.31
cr-rc4,377595401,383318247,-1.49,0.002,0.102,-98.2,0.099,0.26
qoi,387938873,392304937,-1.11,0.153,0.095,61.4,0.254,0.15
sqlite-heavy,5844762571,5871194558,-0.45,0.016,0.021,-21.0,0.021,3.03
bb-b64,728073329,832539047,-12.55,0.0,0.037,-99.6,0.0,0.45
sha256-big,1583178320,1588240243,-0.32,0.047,0.003,1531.2,0.047,0.54
bb-md5,421302488,440482683,-4.35,0.0,0.148,-99.8,0.0,0.2
bzip2-fast,5475173421,5463900027,0.21,0.037,0.046,-19.4,0.039,2.93
cr-b64,604031392,608918491,-0.8,0.159,0.223,-28.8,0.37,0.32
bb-sortn,16431116519,16783191876,-2.1,0.043,0.045,-5.8,0.049,9.33
bzip2,8370753201,8388781131,-0.21,0.157,0.233,-32.8,0.159,6.07
bb-wc,557137503,567719116,-1.86,0.0,0.068,-99.5,0.0,0.23
cr-aes,2371931130,2374887181,-0.12,0.009,0.001,1159.4,0.009,0.91
bb-gzip,3921678068,3940973082,-0.49,0.0,0.018,-99.5,0.0,2.41
bb-sed,1961929088,1989501558,-1.39,0.0,0.015,-98.7,0.0,1.08
sort-big,3070649093,3077606417,-0.23,0.209,0.118,76.6,0.408,1.54
rd-plasma,3204908200,3209805063,-0.15,0.023,0.022,2.7,0.036,2.18
sha256,8443316555,8452048813,-0.1,0.047,0.002,2038.6,0.047,2.84
bb-awk,2589233094,2666087519,-2.88,0.0,0.005,-98.4,0.0,1.56
bb-sha1,1797037455,1817646957,-1.13,0.0,0.043,-99.8,0.0,0.66
sort,1917050985,1925832657,-0.46,0.17,0.089,91.1,0.325,0.96
bb-gunzip,142006976,143307379,-0.91,0.002,0.015,-89.2,0.002,0.08
rd-mandel,2433477828,2437786626,-0.18,0.012,0.012,0.8,0.019,2.07
bb-sha512,1065952076,1086460745,-1.89,0.0,0.07,-99.7,0.0,0.4
cr-md5,1546716576,1546841628,-0.01,0.105,0.006,1775.7,0.105,0.64
bb-cksum,270634504,319977828,-15.42,0.0,0.09,-99.7,0.0,0.23
heatshrink,2747980761,2754157703,-0.22,0.017,0.014,17.3,0.023,1.5
cjson,1494742289,1522807061,-1.84,0.276,0.23,20.0,0.291,1.28
pcg,1040050696,1041115323,-0.1,0.0,0.0,-78.4,0.0,0.54
pacman,25688907996,25714989204,-0.1,0.0,0.001,-94.0,0.0,14.26
parson,1896753410,2001005821,-5.21,0.352,0.317,11.0,0.364,1.84
bb-grep,1268085715,1286057586,-1.4,0.0,0.024,-98.7,0.0,0.67
httpp,1165593270,1165848842,-0.02,0.0,0.0,-68.0,0.0,0.53
pacman-big,18907359660,18926519422,-0.1,0.0,0.001,-93.5,0.0,10.49
rd-ray,316170783,320310814,-1.29,0.044,0.04,8.5,0.07,0.7
tommath,497610617,500658352,-0.61,0.0,0.0,-10.0,0.0,0.36
alu,1200049305,1201018403,-0.08,0.0,0.0,-76.0,0.0,0.67
chase,214268019,203929213,5.07,0.447,0.452,-1.0,0.464,4.14
chase-big,316485763,328404010,-3.63,0.45,0.454,-0.9,0.481,4.33
