workload,kind,meas_mW,qemu_pred_mW,qemu_err_pct,flat_pred_mW,flat_err_pct
mem,single app,1767,1771,0.2,1457,17.6
mem-w,single app,1795,1744,2.9,1457,18.8
mm-big,single app,1558,1449,7.0,1457,6.5
lz4,single app,1529,1342,12.2,1457,4.7
sgm-a55-1t,single app,1512,1357,10.2,1457,3.6
mm,single app,1515,1346,11.2,1457,3.8
sgm,single app,1614,1375,14.8,1457,9.7
lz4-fast,single app,1565,1359,13.1,1457,6.9
rd-life,single app,1525,1425,6.6,1457,4.4
lua,single app,1457,1363,6.5,1457,0.0
cr-blowfish,single app,1517,1374,9.4,1457,3.9
sqlite,single app,1432,1351,5.6,1457,1.8
cr-rc4,single app,1477,1336,9.6,1457,1.4
qoi,single app,1524,1397,8.4,1457,4.4
sqlite-heavy,single app,1434,1350,5.8,1457,1.6
bb-b64,single app,1476,1335,9.5,1457,1.3
sha256-big,single app,1476,1397,5.4,1457,1.3
bb-md5,single app,1484,1358,8.5,1457,1.8
bzip2-fast,single app,1469,1349,8.2,1457,0.8
cr-b64,single app,1506,1377,8.6,1457,3.3
bb-sortn,single app,1438,1345,6.4,1457,1.3
bzip2,single app,1444,1337,7.4,1457,0.9
bb-wc,single app,1467,1371,6.5,1457,0.7
cr-aes,single app,1445,1378,4.6,1457,0.8
bb-gzip,single app,1433,1335,6.8,1457,1.7
bb-sed,single app,1425,1343,5.7,1457,2.2
sort-big,single app,1482,1384,6.6,1457,1.7
rd-plasma,single app,1434,1331,7.2,1457,1.6
sha256,single app,1458,1398,4.1,1457,0.1
bb-awk,single app,1428,1336,6.4,1457,2.0
bb-sha1,single app,1421,1383,2.7,1457,2.5
sort,single app,1473,1378,6.5,1457,1.1
bb-gunzip,single app,1478,1342,9.3,1457,1.4
rd-mandel,single app,1418,1317,7.1,1457,2.8
bb-sha512,single app,1470,1380,6.1,1457,0.9
cr-md5,single app,1478,1379,6.7,1457,1.4
bb-cksum,single app,1437,1316,8.4,1457,1.4
heatshrink,single app,1440,1346,6.5,1457,1.2
cjson,single app,1420,1339,5.7,1457,2.6
pcg,single app,1419,1349,4.9,1457,2.7
pacman,single app,1386,1343,3.1,1457,5.1
parson,single app,1432,1339,6.5,1457,1.8
bb-grep,single app,1406,1347,4.2,1457,3.7
httpp,single app,1391,1360,2.3,1457,4.7
pacman-big,single app,1382,1343,2.8,1457,5.4
rd-ray,single app,1367,1289,5.7,1457,6.6
tommath,single app,1372,1324,3.5,1457,6.2
alu,single app,1355,1342,0.9,1457,7.6
chase,single app,1295,1304,0.7,1457,12.5
chase-big,single app,1314,1306,0.6,1457,10.9
game + disparity,concurrent,1704,1605,5.8,1457,14.5
game + disparity + DB + net,concurrent,2189,2123,3.0,1457,33.4
"six workloads, every core",concurrent,2561,2612,2.0,1457,43.1
compute-bound control,concurrent,2163,2304,6.5,1457,32.6
mixed benchmark control,concurrent,2878,3065,6.5,1457,49.4
reduce 256MB — array reduction,bandwidth,1797,1774,1.3,1457,18.9
blit 256MB — large memcpy,bandwidth,1947,2180,12.0,1457,25.2
blit 4MB — large memcpy (replicate),bandwidth,1944,2203,13.3,1457,25.1
spmv 64MB — sparse gather,bandwidth,1330,1305,1.9,1457,9.5
yuv 1080p — YUV420→RGB565,bandwidth,1456,1393,4.3,1457,0.1
