0,alpha,37497,0.696224,status=OK
1,wattson,48480,0.671647,status=OK
2,wattson,78486,0.498272,status=OK
3,sgm,56674,0.576620,status=FAIL
4,activity,71694,0.886508,status=WARN
5,imx95,23093,0.057718,status=OK
6,activity,16325,0.375858,status=OK
7,gamma,67165,0.834509,status=OK
8,miss,50705,0.597217,status=FAIL
9,epsilon,75387,0.181840,status=OK
10,alpha,75925,0.061211,status=OK
11,activity,21722,0.296160,status=OK
12,sgm,81726,0.103041,status=FAIL
13,ddr,85164,0.679252,status=OK
14,activity,81624,0.457421,status=FAIL
15,vector,94816,0.331275,status=FAIL
16,ddr,91901,0.438789,status=OK
17,activity,10505,0.780865,status=OK
18,vector,77517,0.268127,status=FAIL
19,gamma,88064,0.604480,status=FAIL
20,ddr,14850,0.297006,status=FAIL
21,zeta,93739,0.433993,status=WARN
22,imx95,78887,0.773655,status=WARN
23,gamma,84536,0.086228,status=FAIL
24,cache,20198,0.574091,status=WARN
25,beta,90448,0.535189,status=WARN
26,qemu,4977,0.146567,status=OK
27,vector,16294,0.126034,status=OK
28,miss,44255,0.118541,status=FAIL
29,wattson,33945,0.937344,status=FAIL
30,wattson,44565,0.857211,status=WARN
31,beta,93371,0.033409,status=FAIL
32,delta,88120,0.404660,status=FAIL
33,vector,75449,0.403462,status=FAIL
34,qemu,53569,0.912454,status=WARN
35,imx95,45481,0.051842,status=FAIL
36,gamma,24609,0.706211,status=OK
37,ddr,30595,0.958820,status=OK
38,zeta,24613,0.776596,status=WARN
39,activity,51006,0.224864,status=WARN
40,sgm,8024,0.095988,status=OK
41,sgm,80379,0.846865,status=FAIL
42,activity,66255,0.951120,status=FAIL
43,zeta,34536,0.219619,status=WARN
44,miss,51262,0.154610,status=OK
45,beta,91652,0.219534,status=FAIL
46,qemu,54459,0.201015,status=WARN
47,beta,1931,0.186841,status=OK
48,zeta,40974,0.261139,status=OK
49,sgm,75451,0.151403,status=OK
50,delta,30998,0.043850,status=WARN
51,wattson,91664,0.935962,status=FAIL
52,miss,9641,0.481743,status=WARN
53,gamma,41942,0.223289,status=FAIL
54,delta,62265,0.970389,status=OK
55,epsilon,74644,0.668454,status=WARN
56,cache,63037,0.977136,status=WARN
57,vector,98595,0.746644,status=WARN
58,activity,71989,0.610058,status=FAIL
59,imx95,67900,0.815233,status=OK
60,delta,80467,0.930717,status=FAIL
61,cache,20193,0.606369,status=OK
62,ddr,14177,0.798943,status=FAIL
63,cache,11561,0.904397,status=FAIL
64,delta,24639,0.985166,status=FAIL
65,miss,95687,0.810038,status=OK
66,epsilon,22265,0.486027,status=WARN
67,imx95,38957,0.064183,status=WARN
68,wattson,90965,0.266730,status=OK
69,beta,42121,0.358170,status=WARN
70,beta,50810,0.698252,status=WARN
71,zeta,40584,0.836135,status=OK
72,delta,60688,0.182158,status=WARN
73,imx95,31445,0.828296,status=WARN
74,sgm,83551,0.048635,status=OK
75,epsilon,17150,0.788709,status=OK
76,gamma,23405,0.687608,status=FAIL
77,qemu,66526,0.716375,status=OK
78,epsilon,65511,0.388439,status=FAIL
79,gamma,33382,0.833039,status=OK
80,activity,97838,0.515397,status=OK
81,beta,57099,0.308341,status=WARN
82,beta,20196,0.570795,status=FAIL
83,imx95,6721,0.376047,status=WARN
84,ddr,60182,0.561868,status=FAIL
85,ddr,13966,0.008945,status=FAIL
86,wattson,63113,0.818310,status=WARN
87,beta,87410,0.722944,status=WARN
88,cache,11489,0.680814,status=FAIL
89,imx95,62845,0.147346,status=OK
90,zeta,926,0.082303,status=WARN
91,vector,5624,0.088576,status=FAIL
92,activity,42135,0.185181,status=FAIL
93,zeta,26874,0.325151,status=OK
94,imx95,60927,0.059032,status=FAIL
95,cache,10927,0.219032,status=OK
96,vector,26362,0.614011,status=OK
97,alpha,52035,0.039336,status=OK
98,beta,39867,0.026414,status=FAIL
99,activity,65770,0.668277,status=FAIL
100,ddr,29425,0.259095,status=WARN
101,qemu,24416,0.791270,status=FAIL
102,cache,42094,0.491270,status=FAIL
103,imx95,82297,0.705796,status=WARN
104,ddr,43109,0.459516,status=FAIL
105,cache,26734,0.442446,status=FAIL
106,activity,63555,0.824809,status=FAIL
107,activity,20260,0.440374,status=FAIL
108,gamma,14722,0.075507,status=OK
109,wattson,13753,0.122929,status=FAIL
110,activity,32954,0.968236,status=FAIL
111,sgm,68735,0.394502,status=WARN
112,miss,1446,0.241806,status=WARN
113,beta,51304,0.086045,status=OK
114,vector,68548,0.599191,status=FAIL
115,beta,56685,0.038030,status=OK
116,delta,96420,0.656890,status=FAIL
117,sgm,56408,0.810277,status=OK
118,zeta,91811,0.885297,status=WARN
119,zeta,37086,0.666390,status=FAIL
120,alpha,57457,0.723231,status=OK
121,alpha,80293,0.010388,status=OK
122,imx95,35508,0.252700,status=FAIL
123,epsilon,3361,0.356445,status=WARN
124,alpha,16377,0.939354,status=WARN
125,epsilon,35533,0.754525,status=OK
126,zeta,5763,0.793482,status=OK
127,sgm,16235,0.416383,status=WARN
128,qemu,58794,0.282456,status=OK
129,wattson,46833,0.503240,status=OK
130,vector,14333,0.444611,status=WARN
131,wattson,22743,0.221846,status=FAIL
132,cache,34931,0.258478,status=FAIL
133,imx95,13372,0.969156,status=WARN
134,epsilon,14197,0.796775,status=FAIL
135,sgm,66995,0.706277,status=FAIL
136,vector,63144,0.732401,status=FAIL
137,miss,50667,0.780959,status=OK
138,alpha,82748,0.765840,status=OK
139,epsilon,24932,0.745914,status=FAIL
140,ddr,41943,0.155122,status=FAIL
141,sgm,57688,0.920088,status=FAIL
142,alpha,35438,0.906198,status=OK
143,sgm,41041,0.303259,status=FAIL
144,cache,1187,0.564761,status=FAIL
145,activity,22541,0.060625,status=FAIL
146,activity,17089,0.891009,status=OK
147,wattson,97752,0.336279,status=OK
148,ddr,30083,0.028789,status=OK
149,epsilon,34443,0.172200,status=WARN
150,sgm,6036,0.933797,status=OK
151,imx95,39234,0.544250,status=FAIL
152,qemu,17740,0.526765,status=FAIL
153,zeta,98779,0.990916,status=WARN
154,qemu,58659,0.674291,status=OK
155,ddr,63041,0.591312,status=OK
156,gamma,16725,0.485779,status=WARN
157,zeta,35610,0.061196,status=OK
158,ddr,59957,0.594239,status=FAIL
159,qemu,74211,0.971051,status=WARN
160,zeta,91418,0.580415,status=OK
161,activity,32024,0.897495,status=FAIL
162,zeta,12108,0.726093,status=WARN
163,cache,83578,0.013103,status=WARN
164,vector,38854,0.524167,status=OK
165,delta,56125,0.550822,status=FAIL
